"paco@mail.es";"DEW";"php2";"como hacer el proyecto de php tampoco";
"paco@mail.es";"DEW";"php2";"como hacer el proyecto de php tampoco";
"jorge.elzardo@gmail.com";"DSW";"convalidacion";"Cual es la fecha de apertura del formulario de convalidacion";
"jorge.elzardo@gmail.com";"EMR";"convalidacion";"Cual es la fecha de apertura del formulario de convalidacion";
"manuel@gmail.com";"DOR";"actividades";"cual es la fecha de entrega de la actividad 9";
"manuel2@gmail.com";"DOR";"actividades";"cual es la fecha de entrega de la act2ividad 9";
"manuel2@gmail.com";"DOR";"actividades";"cual es la fecha de entrega de la act2ividad 9";
"manuel2@gmail.com";"DOR";"actividades";"cual es la fecha de entrega de la act2ividad 9";
"manuel2@gmail.com";"DOR";"actividades";"cual es la fecha de entrega de la act2ividad 9";
"manuel2@gmail.com";"DOR";"actividades";"cual es la fecha de entrega de la act2ividad 9";
"manuel2@gmail.com";"DOR";"actividades";"cual es la fecha de entrega de la act2ividad 9";
"example@mail.org";"DPL";"horario";"a que hora empezamos";
"paco@mail.es";"DSW";"php";"bjkbjkbkjbkj";
"*@com.es";"DPL";"JS";"duda de js
"
